GLOBALEVENTID,MonthYear,QuadClass,Actor1CountryCode,Actor2CountryCode,SubEventType,GoldsteinScale,SOURCEURL
1040870943,202204,4,RUS,UKR,3,-7.2,https://southfront.org/another-ukrainian-provocation-reported-at-russian-border-checkpoint/
1040786420,202204,3,RUS,UKR,3,-4.0,https://www.dw.com/en/russia-says-it-seeks-full-control-of-southern-ukraine-access-to-moldovas-trans-dniester-region-as-it-happened/a-61551869
1040786333,202204,4,RUS,UKR,3,-7.2,http://www.hngn.com/articles/241783/20220422/russia-enters-second-phase-war-take-over-donbas-southern-ukraine.htm
1040786332,202204,4,RUS,UKR,3,-7.2,http://www.hngn.com/articles/241783/20220422/russia-enters-second-phase-war-take-over-donbas-southern-ukraine.htm
1040861467,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/2022/04/23/world/europe/ukrainian-easter-traditions.html
1040861468,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/2022/04/23/world/europe/ukrainian-easter-traditions.html
1037906982,202204,3,RUS,UKR,3,-5.0,https://www.wdrb.com/news/national/ukraine-leader-to-un-security-council-no-more-russia-veto/article_8e6e578a-dfac-552a-88bf-818c3360de60.html
1037961169,202204,4,RUS,UKR,3,-7.2,https://bdnews24.com/world/2022/04/06/hackers-fake-claims-of-ukrainian-surrender-arent-fooling-anyone.-so-whats-their-goal
1037961174,202204,4,RUS,UKR,3,-7.2,https://bdnews24.com/world/2022/04/06/hackers-fake-claims-of-ukrainian-surrender-arent-fooling-anyone.-so-whats-their-goal
1037961168,202204,4,RUS,UKR,3,-7.2,https://bdnews24.com/world/2022/04/06/hackers-fake-claims-of-ukrainian-surrender-arent-fooling-anyone.-so-whats-their-goal
1037961173,202204,4,RUS,UKR,3,-7.2,https://bdnews24.com/world/2022/04/06/hackers-fake-claims-of-ukrainian-surrender-arent-fooling-anyone.-so-whats-their-goal
1037927060,202204,3,RUS,UKR,3,-5.0,https://www.taiwannews.com.tw/en/news/4496843
1038027168,202204,3,RUS,UKR,3,-5.0,https://www.dailymail.co.uk/news/article-10692413/Ukraine-war-months-YEARS-no-sign-Putin-lost-ambition-NATO-chief-warns.html
1038027169,202204,3,RUS,UKR,3,-5.0,https://www.dailymail.co.uk/news/article-10692413/Ukraine-war-months-YEARS-no-sign-Putin-lost-ambition-NATO-chief-warns.html
1038822565,202204,4,RUS,UKR,3,-7.2,https://article.wn.com/view/2022/04/11/Ukraine_War_Russia_warns_Sweden_and_Finland_against_Nato_mem/
1038869807,202204,4,RUS,UKR,3,-7.2,https://menafn.com/1103994557/Russian-regions-bordering-Ukraine-step-up-security&source=24
1038796787,202204,3,RUS,UKR,3,-5.0,https://www.sundaystandard.info/botswana-abstains-to-vote-in-russias-suspension-from-un-human-rights-council/
1038796786,202204,3,RUS,UKR,3,-5.0,https://www.sundaystandard.info/botswana-abstains-to-vote-in-russias-suspension-from-un-human-rights-council/
1038861558,202204,4,RUS,UKR,3,-7.2,https://techstory.in/ericsson-suspends-business-in-russia-puts-staff-on-paid-leave/
1038861581,202204,4,RUS,UKR,3,-7.2,https://techstory.in/ericsson-suspends-business-in-russia-puts-staff-on-paid-leave/
1038884549,202204,4,RUS,UKR,3,-7.2,http://www.msn.com/en-us/news/world/ukraines-zelensky-calls-for-more-military-aid-ahead-of-battles-in-eastern-regions/ar-AAW5C6i
1038884550,202204,4,RUS,UKR,3,-7.2,http://www.msn.com/en-us/news/world/ukraines-zelensky-calls-for-more-military-aid-ahead-of-battles-in-eastern-regions/ar-AAW5C6i
1040071070,202204,3,RUS,UKR,3,-5.0,https://www.dailymail.co.uk/news/article-10730737/Bucha-clean-Streets-littered-rubble-destroyed-tanks-clear-more.html
1040133050,202204,4,RUS,UKR,3,-7.2,http://www.hngn.com/articles/241704/20220419/russia-gives-ukraine-2-hours-surrender-azovstal-plant-battle-donbas.htm
1040133049,202204,4,RUS,UKR,3,-7.2,http://www.hngn.com/articles/241704/20220419/russia-gives-ukraine-2-hours-surrender-azovstal-plant-battle-donbas.htm
1039461574,202204,4,RUS,UKR,3,-7.2,https://www.dailymail.co.uk/news/article-10720167/China-tears-condescending-U-S-lawmakers-trip-Taiwan.html
1039461575,202204,4,RUS,UKR,3,-7.2,https://www.dailymail.co.uk/news/article-10720167/China-tears-condescending-U-S-lawmakers-trip-Taiwan.html
1039394882,202204,4,RUS,UKR,3,-7.2,https://www.japantimes.co.jp/news/2022/04/14/national/russia-missile-test-sea-of-japan/
1039416970,202204,4,RUS,UKR,3,-7.2,https://www.mirror.co.uk/news/world-news/vladimir-putin-orders-media-blackout-26714071
1039416972,202204,4,RUS,UKR,3,-7.2,https://www.mirror.co.uk/news/world-news/vladimir-putin-orders-media-blackout-26714071
1039334680,202204,4,RUS,UKR,3,-7.2,https://sputniknews.com/20220414/live-updates-ukrainian-troops-fire-10-grad-rockets-at-town-north-of-donetsk-dpr-says-1094749903.html
1039333510,202204,3,RUS,UKR,3,-5.0,https://www.sandiegouniontribune.com/news/nation-world/story/2022-04-13/editorial-roundup-united-states
1039412418,202204,4,RUS,UKR,3,-7.2,https://www.dailymail.co.uk/news/article-10719361/Ukraine-war-Kyiv-attacks-inside-Russia-Moscow-claims.html
1039416969,202204,4,RUS,UKR,3,-7.2,https://www.mirror.co.uk/news/world-news/vladimir-putin-orders-media-blackout-26714071
1039450012,202204,4,RUS,UKR,3,-7.2,https://www.aljazeera.com/news/2022/4/14/russia-says-ukrainian-helicopters-staged-cross-border-attack
1039333511,202204,3,RUS,UKR,3,-5.0,https://www.sandiegouniontribune.com/news/nation-world/story/2022-04-13/editorial-roundup-united-states
1037325336,202204,3,RUS,UKR,3,-4.0,https://news.err.ee/1608552535/foreign-ministry-official-no-indication-russia-has-abandoned-goals
1037343983,202204,3,RUS,UKR,3,-5.0,https://en.as.com/en/2022/04/02/latest_news/1648891222_898553.html
1037343984,202204,3,RUS,UKR,3,-5.0,https://en.as.com/en/2022/04/02/latest_news/1648891222_898553.html
1037396717,202204,3,RUS,UKR,3,-5.0,https://www.southcarolinapublicradio.org/2022-04-02/ukraine-latest-russian-forces-pull-back-from-kyiv
1037358912,202204,3,RUS,UKR,3,-4.0,http://www.msn.com/en-us/news/world/russia-ukraine-live-updates-russians-leaving-catastrophic-situation-zelenskyy/ar-AAUXmAT
1037283877,202204,3,RUS,UKR,3,-4.0,http://www.msn.com/en-us/news/world/russia-ukraine-live-updates-us-cancels-ballistic-missile-test-to-avoid-escalation/ar-AAUXmAT
1037396718,202204,3,RUS,UKR,3,-5.0,https://japantoday.com/category/politics/japan-to-again-designate-russian-held-isles-as-illegally-occupied
1037337940,202204,3,RUS,UKR,3,-4.0,https://www.kcci.com/article/crisis-in-ukraine-april-2-2022/39615603
1037337941,202204,3,RUS,UKR,3,-4.0,https://www.kcci.com/article/crisis-in-ukraine-april-2-2022/39615603
1041007505,202204,3,RUS,UKR,3,-5.0,https://www.redriverradio.org/2022-04-24/the-war-has-many-ukrainians-who-speak-russian-abandoning-the-language
1038909887,202204,4,RUS,UKR,3,-7.2,https://www.unionleader.com/news/military/russian-regions-bordering-ukraine-step-up-security/article_bc749d41-541e-5103-9cf9-3b1f649a4d20.html
1039078993,202204,3,RUS,UKR,3,-5.0,https://ricochet.com/1217643/lost-the-truth-about-the-war-in-ukraine-if-found-please-return-asap/
1038906512,202204,3,RUS,UKR,3,-5.0,https://www.nytimes.com/live/2022/04/11/world/ukraine-russia-war-news/zelensky-says-ukraine-takes-as-seriously-as-possible-an-apparent-threat-of-russian-chemical-weapon-use
1038906513,202204,3,RUS,UKR,3,-5.0,https://www.nytimes.com/2022/04/11/world/europe/ukraine-russia-war-putin.html
1038925567,202204,4,RUS,UKR,3,-7.2,https://www.zerohedge.com/geopolitical/ex-cia-ray-mcgovern-corporate-media-deploys-big-guns-ukraine
1038959204,202204,3,RUS,UKR,3,-5.0,https://bdnews24.com/world/2022/04/12/far-from-defeated-putin-intends-to-escalate-war-in-ukraine
1038925566,202204,4,RUS,UKR,3,-7.2,https://www.zerohedge.com/geopolitical/ex-cia-ray-mcgovern-corporate-media-deploys-big-guns-ukraine
1038959113,202204,4,RUS,UKR,3,-7.2,https://www.nbclosangeles.com/news/business/money-report/ukraine-prepares-for-russian-offensive-in-the-east-west-working-to-confirm-reports-of-chemical-weapons-attack-follow-our-live-updates/2867880/
1040405153,202204,3,RUS,UKR,3,-4.0,https://www.postbulletin.com/news/world/leading-putin-ally-predicts-mariupol-victory-on-thursday
1040422814,202204,3,RUS,UKR,3,-4.0,https://www.asiaone.com/world/ukraine-seeks-mariupol-evacuation-talks-after-surrender-or-die-ultimatum-expires
1040387543,202204,3,RUS,UKR,3,-4.0,http://www.msn.com/en-nz/news/world/leading-putin-ally-predicts-mariupol-victory-on-thursday/ar-AAWqtyQ
1040455150,202204,4,RUS,UKR,3,-7.2,https://www.dnaindia.com/world/report-russia-tests-sarmat-intercontinental-ballistic-missile-can-carry-nuclear-warhead-10-features-putin-ukraine-war-2947530
1040387541,202204,3,RUS,UKR,3,-4.0,https://www.aol.com/news/leading-putin-ally-predicts-mariupol-230723244-235326295.html
1040387542,202204,3,RUS,UKR,3,-4.0,http://www.msn.com/en-nz/news/world/leading-putin-ally-predicts-mariupol-victory-on-thursday/ar-AAWqtyQ
1040398374,202204,4,RUS,UKR,3,-7.2,https://www.msn.com/en-au/lifestyle/smart-living/the-human-cost-of-the-war-in-ukraine/ar-AAWqmFL
1037786428,202204,3,RUS,UKR,3,-5.0,https://ground.news/article/britain-says-ukraine-forces-have-retaken-the-north
1037875383,202204,4,RUS,UKR,3,-7.2,https://www.brisbanetimes.com.au/world/europe/no-one-believes-hackers-fake-claims-of-ukrainian-surrender-so-what-s-their-goal-20220406-p5ab5g.html
1037875385,202204,4,RUS,UKR,3,-7.2,https://www.brisbanetimes.com.au/world/europe/no-one-believes-hackers-fake-claims-of-ukrainian-surrender-so-what-s-their-goal-20220406-p5ab5g.html
1037875386,202204,4,RUS,UKR,3,-7.2,https://www.brisbanetimes.com.au/world/europe/no-one-believes-hackers-fake-claims-of-ukrainian-surrender-so-what-s-their-goal-20220406-p5ab5g.html
1037786427,202204,3,RUS,UKR,3,-5.0,https://ground.news/article/britain-says-ukraine-forces-have-retaken-the-north
1037889719,202204,3,RUS,UKR,3,-5.0,https://www.clintonherald.com/region/ukraine-leader-to-un-security-council-no-more-russia-veto/article_e258db9f-5330-5181-b2e7-07cd09ef82ae.html
1037733318,202204,3,RUS,UKR,3,-4.0,https://www.scotsman.com/news/opinion/columnists/russia-is-not-above-the-law-and-must-be-held-accountable-for-its-barbarity-angus-robertson-3639697
