YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2020,RWA,-56,73
2021,RWA,-20,26
2022,RWA,-20,63
2023,RWA,-10,13
2003,SAU,-20,21
2004,SAU,-4,37
2005,SAU,-10,4
2006,SAU,-20,23
2007,SAU,-36,29
2008,SAU,-10,18
2009,SAU,-40,76
2010,SAU,-75,100
2011,SAU,-18,70
2012,SAU,-15,62
2013,SAU,-40,92
2014,SAU,-19,151
2015,SAU,-59,159
2016,SAU,-97,247
2017,SAU,-15,282
2018,SAU,-10,297
2019,SAU,-33,297
2020,SAU,-16,454
2021,SAU,-10,122
2022,SAU,-6,188
2023,SAU,-20,434
2003,SDN,-9,3
2004,SDN,-60,53
2005,SDN,-10,3
2006,SDN,-30,45
2007,SDN,-18,168
2008,SDN,-6,506
2009,SDN,-15,121
2010,SDN,-5,78
2011,SDN,-25,156
2012,SDN,-50,662
2013,SDN,-30,191
2014,SDN,-33,137
2015,SDN,-5,104
2016,SDN,-135,88
2017,SDN,-8,81
2018,SDN,-16,46
2019,SDN,-5,60
2020,SDN,-20,117
2021,SDN,-9,9
2022,SDN,-8,28
2023,SDN,-30,503
2003,SEN,-14,2
2005,SEN,-9,6
2006,SEN,-8,11
2008,SEN,-8,2
2009,SEN,-8,14
2010,SEN,-12,3
2011,SEN,-60,6
2012,SEN,0,16
2014,SEN,-18,4
2015,SEN,-10,7
2016,SEN,-7,33
2017,SEN,-10,53
2018,SEN,-5,22
2019,SEN,-10,6
2020,SEN,-10,15
2021,SEN,-8,28
2022,SEN,-50,8
2023,SEN,-5,14
2003,SGP,-5,82
2004,SGP,-5,39
2005,SGP,-10,64
2006,SGP,-5,127
2007,SGP,-5,96
2008,SGP,-20,128
2009,SGP,-19,130
2010,SGP,-36,97
2011,SGP,-40,111
2012,SGP,-25,291
2013,SGP,-10,301
2014,SGP,-2,462
2015,SGP,-97,644
2016,SGP,-157,680
2017,SGP,-78,527
2018,SGP,-7,500
2019,SGP,-105,413
2020,SGP,-15,1262
2021,SGP,-104,310
2022,SGP,-35,265
2023,SGP,-4,357
2005,SLE,-20,6
2006,SLE,-2,2
2008,SLE,-6,8
2009,SLE,-40,9
2010,SLE,-20,10
2011,SLE,-18,9
2012,SLE,-10,5
2013,SLE,-10,6
2014,SLE,-13,24
2015,SLE,-10,20
2016,SLE,-20,22
