YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2003,MLI,2,0,0
2003,MLI,4,0,0
2003,MLT,1,0,0
2003,MLT,2,0,0
2003,MLT,3,0,0
2003,MLT,4,0,0
2003,MMR,1,-5.2,9
2003,MMR,3,-93.59999999999998,27
2003,MMR,4,-270.5,40
2003,MMR,2,0,0
2003,MNE,1,0,0
2003,MNE,2,0,0
2003,MNE,3,0,0
2003,MNE,4,0,0
2003,MNG,1,-0.8,2
2003,MNG,2,-6,3
2003,MNG,3,-36,9
2003,MNG,4,-25,5
2003,MOZ,3,-16.8,6
2003,MOZ,2,-4,2
2003,MOZ,1,0,0
2003,MOZ,4,0,0
2003,MUS,2,-2,1
2003,MUS,4,-9,1
2003,MUS,3,-10.9,2
2003,MUS,1,0,0
2003,MWI,3,-4,1
2003,MWI,1,0,0
2003,MWI,2,0,0
2003,MWI,4,0,0
2003,MYS,4,-318.2,48
2003,MYS,1,-2.6,7
2003,MYS,3,-92.70000000000002,27
2003,MYS,2,0,0
2003,NAM,4,-48.4,5
2003,NAM,3,-10,2
2003,NAM,1,0,0
2003,NAM,2,0,0
2003,NER,1,0,0
2003,NER,2,0,0
2003,NER,3,0,0
2003,NER,4,0,0
2003,NGA,3,-54,13
2003,NGA,4,-36,6
2003,NGA,2,-2,1
2003,NGA,1,0,0
2003,NIC,1,0,0
2003,NIC,2,0,0
2003,NIC,3,0,0
2003,NIC,4,0,0
2003,NLD,3,-20,10
2003,NLD,4,-304.5,57
2003,NLD,1,0,0
2003,NLD,2,0,0
2003,NOR,2,-6,3
2003,NOR,4,-4,1
2003,NOR,3,-68,19
2003,NOR,1,0,0
2003,NPL,3,-71.8,16
2003,NPL,1,-2.4,6
2003,NPL,2,-2,1
2003,NPL,4,-250.59999999999997,36
2003,NZL,1,-0.8,2
2003,NZL,4,-77.2,13
2003,NZL,3,-86,28
2003,NZL,2,-2,1
2003,OMN,1,0,0
2003,OMN,2,0,0
2003,OMN,3,0,0
2003,OMN,4,0,0
2003,PAK,3,-332,103
2003,PAK,4,-760.3000000000002,82
2003,PAK,2,-12,6
2003,PAK,1,-22.4,28
2003,PAN,1,-4.800000000000001,4
2003,PAN,4,-8,2
2003,PAN,3,-22.4,10
2003,PAN,2,0,0
2003,PER,3,-2,1
2003,PER,1,0,0
2003,PER,2,0,0
2003,PER,4,0,0
2003,PHL,4,-895.1000000000001,136
2003,PHL,1,-24.499999999999993,47
2003,PHL,3,-327.40000000000003,78
2003,PHL,2,-14,7
2003,PNG,1,-2.4,6
2003,PNG,3,-20.8,5
2003,PNG,2,0,0
2003,PNG,4,0,0
2003,POL,3,-29.200000000000003,11
2003,POL,4,-29.5,3
2003,POL,1,0,0
2003,POL,2,0,0
2003,PRK,1,-98.70000000000007,216
2003,PRK,4,-4340.7999999999965,640
2003,PRK,2,-82,41
2003,PRK,3,-1728.2000000000016,498
2003,PRT,2,-2,1
2003,PRT,4,-49.5,5
2003,PRT,1,0,0
2003,PRT,3,0,0
2003,PRY,3,-8,4
2003,PRY,1,0,0
2003,PRY,2,0,0
2003,PRY,4,0,0
2003,QAT,3,-7,2
2003,QAT,4,-20,4
2003,QAT,1,0,0
2003,QAT,2,0,0
2003,ROM,1,0,0
2003,ROM,2,0,0
2003,ROM,3,0,0
2003,ROM,4,0,0
2003,RUS,1,-64.99999999999991,133
2003,RUS,3,-2221.300000000001,583
2003,RUS,2,-180,90
2003,RUS,4,-2935.3999999999996,464
2003,RWA,4,-15,3
2003,RWA,1,0,0
2003,RWA,2,0,0
2003,RWA,3,0,0
2003,SAU,1,-2,5
2003,SAU,4,-115,21
2003,SAU,3,-10.4,4
2003,SAU,2,0,0
2003,SDN,2,-2,1
2003,SDN,3,-6,2
2003,SDN,4,-21.4,3
2003,SDN,1,0,0
2003,SEN,3,-8.8,2
2003,SEN,4,-14.4,2
2003,SEN,1,0,0
2003,SEN,2,0,0
2003,SGP,4,-428.19999999999993,75
2003,SGP,1,-3.5,9
2003,SGP,3,-147.30000000000004,36
2003,SGP,2,0,0
2003,SLE,1,0,0
2003,SLE,2,0,0
2003,SLE,3,0,0
2003,SLE,4,0,0
2003,SLV,1,0,0
2003,SLV,2,0,0
2003,SLV,3,0,0
2003,SLV,4,0,0
2003,SOM,1,0,0
2003,SOM,2,0,0
2003,SOM,3,0,0
2003,SOM,4,0,0
2003,SRB,4,-59,8
2003,SRB,1,0,0
2003,SRB,2,0,0
2003,SRB,3,0,0
2003,SUR,1,0,0
2003,SUR,2,0,0
2003,SUR,3,0,0
2003,SUR,4,0,0
2003,SVK,2,-2,1
2003,SVK,4,-18.4,2
2003,SVK,1,0,0
2003,SVK,3,0,0
2003,SVN,1,0,0
2003,SVN,2,0,0
2003,SVN,3,0,0
2003,SVN,4,0,0
2003,SWE,1,-0.8,2
2003,SWE,2,-12,6
2003,SWE,4,-73,10
2003,SWE,3,-22,5
2003,SYR,4,-92,11
2003,SYR,3,-42.4,14
2003,SYR,1,-0.8,2
2003,SYR,2,0,0
2003,TCD,1,0,0
2003,TCD,2,0,0
2003,TCD,3,0,0
2003,TCD,4,0,0
