YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2006,BWA,-60,10
2006,CAN,-1098.1999999999998,279
2006,CHE,-115.40000000000003,37
2006,CHL,-10,2
2006,CMR,-13.5,3
2006,COD,-130.5,14
2006,COG,0,0
2006,COL,-41.9,10
2006,CRI,0,0
2006,CUB,-125.8,29
2006,CYM,0,0
2006,CYP,-20,3
2006,CZE,-122.99999999999999,25
2006,DEU,-926.6999999999998,237
2006,DJI,0,0
2006,DNK,-48.3,7
2006,DOM,-5,1
2006,DZA,-26,4
2006,ECU,-4,1
2006,EGY,-130,33
2006,ESP,-297.4,82
2006,EST,0,0
2006,ETH,-29,6
2006,FIN,-336.3,47
2006,FJI,-114.00000000000003,31
2006,FRA,-1550.9,412
2006,FSM,-37.6,7
2006,GAB,0,0
2006,GBR,-2677.3000000000006,606
2006,GEO,0,0
2006,GHA,-49,11
2006,GIN,0,0
2006,GNB,0,0
2006,GRC,-64.6,21
2006,GUY,-22,4
2006,HKG,-98.60000000000001,42
2006,HND,0,0
2006,HRV,-47.8,8
2006,HTI,0,0
2006,HUN,-36,9
2006,IDN,-442.09999999999997,93
2006,IND,-767.5999999999997,176
2006,IRL,-28.099999999999998,10
2006,IRN,-4329.300000000005,1066
2006,IRQ,-353.09999999999997,68
2006,ISL,0,0
2006,ISR,-1491.6000000000006,292
2006,ITA,-566.2999999999998,141
2006,JAM,-6,3
2006,JOR,-55,6
2006,JPN,-12052.999999999978,2977
2006,KAZ,-227.00000000000003,48
2006,KEN,-236.00000000000003,46
2006,KGZ,-374.0999999999998,70
2006,KHM,-131.8,25
2006,KOR,-2282.600000000006,573
2006,KWT,-16.5,3
2006,LAO,-53,11
2006,LBN,-941.4999999999993,183
2006,LBR,-99.80000000000001,27
2006,LKA,-131.4,20
2006,LTU,-16,5
2006,LUX,0,0
2006,LVA,-16,5
2006,MAC,-29.5,6
2006,MAR,-15.200000000000001,4
2006,MDA,-31,8
2006,MDG,0,0
2006,MEX,-58.099999999999994,16
2006,MKD,0,0
2006,MLI,-30,6
2006,MLT,0,0
2006,MMR,-457.49999999999994,106
2006,MNE,0,0
2006,MNG,-178.30000000000004,40
2006,MOZ,-79,17
2006,MUS,-4,1
2006,MWI,-2,1
2006,MYS,-713.4999999999995,167
2006,NAM,-147.4,24
2006,NER,-32,7
2006,NGA,-245.4,53
2006,NIC,-4,2
2006,NLD,-155,33
2006,NOR,-52.79999999999999,11
2006,NPL,-394.2999999999999,109
2006,NZL,-232.9,41
2006,OMN,0,0
2006,PAK,-2647.0000000000005,399
2006,PAN,-2,1
2006,PER,-46,13
2006,PHL,-508.4,103
2006,PNG,-32.8,8
2006,POL,-67.5,12
2006,PRK,-7533.999999999998,1756
2006,PRT,-15,4
2006,PRY,-2,1
2006,QAT,-84.39999999999999,22
2006,ROM,0,0
2006,RUS,-6620.99999999999,1649
2006,RWA,-16,4
2006,SAU,-201.8,46
2006,SDN,-685.9999999999994,161
2006,SEN,-90.4,24
2006,SGP,-802.6999999999999,198
2006,SLE,-8.5,2
2006,SLV,-12,3
2006,SOM,-26,5
2006,SRB,-10.4,4
2006,SUR,0,0
2006,SVK,-52.6,13
2006,SVN,0,0
2006,SWE,-100.9,23
2006,SYR,-257.7,36
2006,TCD,-159.2,38
2006,TGO,0,0
2006,THA,-578.8999999999999,92
2006,TJK,-162,28
2006,TKM,-13,5
2006,TTO,0,0
2006,TUN,-20,4
2006,TUR,-148.2,28
2006,TZA,-46,11
2006,UGA,-67.10000000000001,21
2006,UKR,-112.20000000000002,24
2006,URY,0,0
2006,USA,-15002.699999999966,4010
2006,UZB,-289.8,63
2006,VEN,-88.6,28
2006,VNM,-1558.6000000000006,266
2006,VUT,-4,1
2006,YEM,0,0
2006,ZAF,-263.3,44
2006,ZMB,-282.20000000000005,65
2006,ZWE,-217.90000000000003,59
2007,AFG,-598.1999999999999,103
2007,AGO,-48.599999999999994,18
2007,ARE,-77.10000000000001,18
2007,ARG,-68.69999999999999,20
2007,ARM,-56,11
2007,ATG,0,0
2007,AUS,-3468.8000000000047,867
2007,AUT,-184.8,45
2007,AZE,-23.799999999999997,5
2007,BEL,-490.79999999999984,124
2007,BGD,-317.4,53
2007,BGR,-16.4,3
2007,BHR,0,0
2007,BIH,0,0
2007,BLR,-87,12
2007,BMU,-4,2
2007,BOL,-25,5
2007,BRA,-279.59999999999997,66
2007,BRN,-251.79999999999998,43
2007,BWA,-25,5
2007,CAN,-4369.700000000004,1059
2007,CHE,-385.1,104
2007,CHL,-16,4
2007,CMR,-6,3
2007,COD,-51.3,8
2007,COG,-34,6
2007,COL,-56,11
2007,CRI,-197.40000000000006,72
2007,CUB,-70.69999999999999,21
2007,CYM,-39.5,6
2007,CYP,-5,1
2007,CZE,-206.00000000000003,41
2007,DEU,-4515.700000000002,1146
2007,DJI,0,0
2007,DNK,-44.5,9
2007,DOM,-60,12
2007,DZA,-222,28
2007,ECU,-4,2
2007,EGY,-92.1,19
2007,ESP,-422.99999999999966,91
2007,EST,-9.600000000000001,5
2007,ETH,-4514.100000000002,558
2007,FIN,-48,15
2007,FJI,-106.10000000000001,27
2007,FRA,-2947.5999999999985,668
2007,FSM,-54.6,11
2007,GAB,0,0
2007,GBR,-5779.599999999993,1217
2007,GEO,0,0
2007,GHA,-54,15
2007,GIN,-1.2000000000000002,3
2007,GNB,-4.4,3
2007,GRC,-110.8,17
2007,GUY,-30,4
2007,HKG,-136.8,49
2007,HND,-59,15
2007,HRV,-15,3
2007,HTI,-72,14
2007,HUN,-57.5,11
2007,IDN,-1391.5000000000005,280
2007,IND,-1452.6,346
2007,IRL,-249.5,42
2007,IRN,-3720.7000000000066,848
2007,IRQ,-995.3999999999995,161
2007,ISL,-2,1
2007,ISR,-672.8999999999999,147
2007,ITA,-1299.8000000000002,277
2007,JAM,-10,2
2007,JOR,-29.8,9
2007,JPN,-15740.29999999996,4108
2007,KAZ,-237.20000000000005,45
2007,KEN,-332,48
2007,KGZ,-441.29999999999984,100
2007,KHM,-332.1,53
2007,KOR,-2476.0000000000023,582
2007,KWT,-65,16
2007,LAO,-145.3,25
2007,LBN,-293.2,73
2007,LBR,-276.09999999999997,43
2007,LKA,-306.4,59
2007,LTU,-16,4
2007,LUX,-65,13
2007,LVA,0,0
2007,MAC,-151.50000000000003,36
2007,MAR,-6,3
2007,MDA,-76.5,13
2007,MDG,0,0
2007,MEX,-267.5,63
2007,MKD,-50,10
2007,MLI,-12,3
2007,MLT,0,0
2007,MMR,-3215.3000000000056,805
2007,MNE,0,0
2007,MNG,-159.60000000000002,37
2007,MOZ,-58.5,12
2007,MUS,-25,5
2007,MWI,-14,5
2007,MYS,-1483.6000000000001,341
2007,NAM,-96.4,19
2007,NER,-524.1,66
2007,NGA,-2713.8,354
2007,NIC,-30.599999999999994,10
2007,NLD,-415.4,89
2007,NOR,-106.4,24
2007,NPL,-519.0999999999999,111
2007,NZL,-704.8999999999999,123
2007,OMN,0,0
2007,PAK,-6785.499999999987,1014
2007,PAN,-178.4,42
2007,PER,-79.5,16
2007,PHL,-1256.8,275
2007,PNG,-96.4,16
2007,POL,-156.70000000000002,24
2007,PRK,-4338.800000000005,935
2007,PRT,-154.80000000000004,37
2007,PRY,-63,11
2007,QAT,-11.8,5
2007,ROM,0,0
2007,RUS,-9211.599999999986,1939
2007,RWA,-69.8,19
2007,SAU,-314.2,59
2007,SDN,-2809.000000000005,792
2007,SEN,0,0
2007,SGP,-872.9999999999997,169
2007,SLE,0,0
2007,SLV,-40,8
2007,SOM,-857.5999999999999,100
2007,SRB,-71,19
2007,SUR,-8,4
2007,SVK,-37,8
2007,SVN,0,0
2007,SWE,-175.70000000000002,39
2007,SYR,-41,11
2007,TCD,-40.199999999999996,10
2007,TGO,-47,9
2007,THA,-719.2999999999996,158
2007,TJK,-209.20000000000002,28
2007,TKM,-82.80000000000001,17
2007,TTO,0,0
2007,TUN,0,0
2007,TUR,-205.50000000000003,55
2007,TZA,-10,4
2007,UGA,-240.40000000000003,50
2007,UKR,-128.3,27
2007,URY,0,0
2007,USA,-33894.10000000002,8869
2007,UZB,-515,97
2007,VEN,-71.9,17
2007,VNM,-2359.400000000002,433
2007,VUT,-4.5,3
2007,YEM,-82,12
2007,ZAF,-144.7,31
2007,ZMB,-473.7,111
2007,ZWE,-88.99999999999999,31
2008,AFG,-1325.6000000000006,228
2008,AGO,-25.2,10
2008,ARE,-113.60000000000001,22
2008,ARG,-119,16
2008,ARM,-10,1
2008,ATG,-2,1
2008,AUS,-6176.499999999995,1362
2008,AUT,-346.2,84
2008,AZE,-20,4
2008,BEL,-1182.1000000000004,254
2008,BGD,-347.2999999999999,92
2008,BGR,-17.5,4
2008,BHR,-19,4
2008,BIH,0,0
2008,BLR,-35.2,11
2008,BMU,-22,3
2008,BOL,-19.5,2
2008,BRA,-660.3999999999997,141
2008,BRN,-273.6,73
2008,BWA,-41.8,10
2008,CAN,-4684.200000000002,901
2008,CHE,-1207.1999999999994,260
2008,CHL,-30.8,10
2008,CMR,-54.800000000000004,10
2008,COD,-89.80000000000003,24
2008,COG,-196.4,38
2008,COL,-84.00000000000001,13
2008,CRI,-145.8,43
2008,CUB,-413.3,77
2008,CYM,-46,11
